label,sublabel,description,styles,bgcolor
普通ごみ,,,,#ea3b13
空き缶・ペットボトル,,,,#2dc7aa
空きびん,,,img/bin02.svg,#2dc7aa
使用済み乾電池,,,,#2dc7aa
ミックスペーパー,,,,#bbe400
プラスチック製容器包装,,,,#77ae1f
小物金属,,,,#999999
粗大ごみ,,,,#999999
